交易日期,開盤價,最高價,最低價,收盤價,成交量
20210929,17130,17139,16760,16823,211133
20210930,16828,16966,16668,16917,182166
20211001,16940,16942,16415,16517,216978
20211004,16455,16654,16313,16358,231091
20211005,16345,16457,16107,16398,221187
20211006,16381,16500,16265,16359,171389
20211007,16360,16760,16200,16706,194548
20211008,16713,16799,16591,16627,137297
20211012,16619,16671,16285,16418,176555
20211013,16389,16585,16318,16318,161022
20211014,16316,16546,16261,16405,151691
20211015,16454,16790,16445,16782,153220
20211018,16788,16870,16705,16725,116847
20211019,16699,16954,16674,16902,108524
20211020,16933,16989,16863,16882,76017
20211021,16873,17047,16812,16813,143217
20211022,16810,16913,16770,16854,126090
20211025,16849,16930,16731,16888,130727
20211026,16902,17073,16883,17048,114448
20211027,17044,17088,16928,17071,116053
20211028,17070,17103,16980,17038,116307
20211029,17017,17112,16858,16945,134757
20211101,16930,17130,16881,17079,110042
20211102,17078,17255,17004,17047,125144
20211103,17047,17127,17023,17092,91783
20211104,17102,17280,17050,17075,120117
20211105,17067,17279,17059,17267,114702
20211108,17274,17425,17241,17424,109961
20211109,17421,17593,17415,17555,105092
20211110,17560,17633,17496,17555,108740
20211111,17573,17627,17395,17470,128323
20211112,17485,17638,17462,17547,120157
20211115,17540,17707,17520,17664,102000
20211116,17665,17719,17637,17701,79633
20211117,17712,17761,17678,17722,66488
20211118,17758,17868,17743,17860,109586
20211119,17857,17949,17813,17851,108413
20211122,17850,17876,17724,17836,97573
20211123,17838,17889,17638,17659,138216
20211124,17658,17698,17557,17679,119995
20211125,17694,17718,17588,17676,102892
20211126,17667,17676,17307,17342,143294
20211129,17321,17416,17065,17308,187293
20211130,17368,17537,17295,17327,148086
20211201,17291,17617,17209,17586,179437
20211202,17590,17709,17500,17705,155510
20211203,17742,17775,17621,17706,136755
20211206,17707,17736,17527,17693,139962
20211207,17678,17799,17586,17795,132502
20211208,17805,17988,17781,17851,126487
20211209,17849,17946,17812,17911,104596
20211210,17915,17940,17765,17818,102601
